id;name;category;qtty;provider;price
1;mobile Fish;Home Loan Account Table Computer;5808;FTP Savings Account;70807
2;Movies Producer;Implementation Electronics Officer;61748;Home Loan Account;706
3;Home Namibia;Steel zero administration;36636;Common;78517
4;grey Cambridgeshire;Canyon HDD;68030;Centers;1326
5;Usability South Dakota envisioneer;Intelligent;68423;infomediaries;12203
6;Buckinghamshire Games;incentivize Tuna copy;42515;sky blue Georgia;3131
7;synthesizing Views e-enable;Credit Card Account National Awesome;19598;Tasty Plastic Pizza scale;27134
8;generating compelling;Home Loan Account;27599;scalable;16526
9;Industrial;index orange;552;overriding;70685
10;application quantify Unbranded Plastic Tuna;Internal;85003;Highway Ergonomic;37081
